Open,High,Low,Close,Time
194.88,195.95,194.88,195.94,2024-03-30 16:15:00
195.93,196.74,195.77,196.41,2024-03-30 16:30:00
196.41,196.54,195.62,195.96,2024-03-30 16:45:00
195.96,196.72,195.89,196.38,2024-03-30 17:00:00
196.38,196.42,195.82,196.37,2024-03-30 17:15:00
196.37,196.58,195.93,196.05,2024-03-30 17:30:00
196.05,196.05,195.38,195.99,2024-03-30 17:45:00
195.99,196.7,195.99,196.43,2024-03-30 18:00:00
196.43,197.18,196.3,196.67,2024-03-30 18:15:00
196.67,197.2,196.58,197.19,2024-03-30 18:30:00
197.19,198.8,197.18,197.76,2024-03-30 18:45:00
197.76,198.12,196.62,197.62,2024-03-30 19:00:00
197.62,198.5,197.35,197.91,2024-03-30 19:15:00
197.9,197.91,196.91,197.24,2024-03-30 19:30:00
197.24,198.06,197.07,197.98,2024-03-30 19:45:00
197.99,198.02,196.69,196.86,2024-03-30 20:00:00
196.86,197.44,196.64,196.73,2024-03-30 20:15:00
196.73,197.5,196.15,196.96,2024-03-30 20:30:00
196.95,197.4,196.83,197.14,2024-03-30 20:45:00
197.13,197.32,196.63,197.3,2024-03-30 21:00:00
197.3,197.38,196.47,196.47,2024-03-30 21:15:00
196.47,196.88,195.47,195.95,2024-03-30 21:30:00
195.94,196.05,195.05,195.9,2024-03-30 21:45:00
195.89,196.77,195.87,196.69,2024-03-30 22:00:00
196.68,196.69,195.51,195.7,2024-03-30 22:15:00
195.7,196.38,195.31,196.17,2024-03-30 22:30:00
196.17,196.37,195.92,196.29,2024-03-30 22:45:00
196.3,196.84,195.9,196.17,2024-03-30 23:00:00
196.18,197.0,195.7,196.89,2024-03-30 23:15:00
196.88,197.44,196.4,196.7,2024-03-30 23:30:00
196.7,197.9,196.58,197.6,2024-03-30 23:45:00
197.61,197.66,196.61,196.66,2024-03-31 00:00:00
196.66,197.5,196.61,197.49,2024-03-31 00:15:00
197.48,197.82,197.13,197.36,2024-03-31 00:30:00
197.35,197.35,196.71,196.93,2024-03-31 00:45:00
196.94,196.94,196.42,196.6,2024-03-31 01:00:00
196.6,197.03,196.41,196.98,2024-03-31 01:15:00
196.98,197.03,196.13,196.14,2024-03-31 01:30:00
196.15,196.58,195.67,195.67,2024-03-31 01:45:00
195.7,195.75,193.47,193.78,2024-03-31 02:00:00
193.77,194.75,193.44,194.75,2024-03-31 02:15:00
194.75,195.56,194.45,195.45,2024-03-31 02:30:00
195.44,195.85,195.3,195.45,2024-03-31 02:45:00
195.45,195.81,194.58,195.65,2024-03-31 03:00:00
195.64,195.74,195.28,195.66,2024-03-31 03:15:00
195.66,195.66,194.5,195.05,2024-03-31 03:30:00
195.04,195.17,194.76,194.78,2024-03-31 03:45:00
194.78,195.34,194.04,194.08,2024-03-31 04:00:00
